DateIndex,Previsión diaria D+1 demanda,Previsión diaria D+1 fotovoltaica,Previsión diaria D+1 eólica,Precio mercado SPOT Diario,Signo del desvío,Signo_lag_24h,Signo_lag_48h,Holiday,Year,Month,Day,Weekday,Hour
2019-01-01 00:00:00,23753.0,0.0,3214.0,66.88,-1.0,,,1,2019,1,1,1,0
2019-01-01 01:00:00,23018.0,0.0,3222.0,66.88,-1.0,,,1,2019,1,1,1,1
2019-01-01 02:00:00,21808.0,0.0,3081.0,66.0,-1.0,,,1,2019,1,1,1,2
2019-01-01 03:00:00,20635.0,0.0,3069.0,63.64,-1.0,,,1,2019,1,1,1,3
2019-01-01 04:00:00,19824.0,0.0,2973.0,58.85,-1.0,,,1,2019,1,1,1,4
2019-01-01 05:00:00,19544.0,0.0,2904.0,55.47,1.0,,,1,2019,1,1,1,5
2019-01-01 06:00:00,19803.0,0.0,2857.0,56.0,1.0,,,1,2019,1,1,1,6
2019-01-01 07:00:00,20208.0,0.0,2669.0,61.09,1.0,,,1,2019,1,1,1,7
2019-01-01 08:00:00,20076.0,54.8,2454.0,61.01,-1.0,,,1,2019,1,1,1,8
2019-01-01 09:00:00,20431.0,745.6,2202.0,61.0,1.0,,,1,2019,1,1,1,9
2019-01-01 10:00:00,21385.0,1793.8,1812.0,63.0,1.0,,,1,2019,1,1,1,10
2019-01-01 11:00:00,22413.0,2499.4,1512.0,63.0,1.0,,,1,2019,1,1,1,11
2019-01-01 12:00:00,23489.0,2835.7,1268.0,64.03,1.0,,,1,2019,1,1,1,12
2019-01-01 13:00:00,24130.0,2930.0,1190.0,65.88,1.0,,,1,2019,1,1,1,13
2019-01-01 14:00:00,24031.0,2806.8,1188.0,65.01,-1.0,,,1,2019,1,1,1,14
2019-01-01 15:00:00,23214.0,2359.3,1288.0,60.84,-1.0,,,1,2019,1,1,1,15
2019-01-01 16:00:00,22644.0,1445.7,1606.0,61.09,-1.0,,,1,2019,1,1,1,16
2019-01-01 17:00:00,23349.0,364.8,2156.0,63.08,1.0,,,1,2019,1,1,1,17
2019-01-01 18:00:00,25648.0,2.4,2829.0,66.66,1.0,,,1,2019,1,1,1,18
2019-01-01 19:00:00,26898.0,0.0,3504.0,67.06,1.0,,,1,2019,1,1,1,19
2019-01-01 20:00:00,28052.0,0.0,4105.0,67.26,1.0,,,1,2019,1,1,1,20
